param_name,tasknum,model_path,pp_size,world_size,global_bsz,micro_bsz,grad_acc_steps,seqlen,rank,max_steps,num_samples,peak_memory_mb,throughput_per_gpu_tok_s,total_throughput_tok_s,tokens_per_step,time_per_step_s,status
Llama-2-7b-hf,1,Llama-2-7b-hf,1,1,8,1,8,256,16,50,4000,13184.52,704.52,704.52,2048,2.9069437347413842,OK
Llama-2-7b-hf,2,Llama-2-7b-hf,2,2,8,1,8,256,16,50,4000,6649.72,659.93,1319.86,2048,1.5516797236070494,OK
Llama-2-7b-hf,3,Llama-2-7b-hf,1,1,16,1,16,256,16,50,4000,13184.53,737.62,737.62,4096,5.552994766953174,OK
Llama-2-7b-hf,4,Llama-2-7b-hf,2,2,16,1,16,256,16,50,4000,6775.28,683.92,1367.84,4096,2.9945022809685344,OK
Llama-2-7b-hf,5,Llama-2-7b-hf,1,1,8,2,4,256,16,50,4000,13341.02,1605.55,1605.55,2048,1.2755753480115848,OK
Llama-2-7b-hf,6,Llama-2-7b-hf,2,2,8,2,4,256,16,50,4000,6830.52,1270.86,2541.72,2048,0.805753584187086,OK
Llama-2-7b-hf,7,Llama-2-7b-hf,1,1,16,2,8,256,16,50,4000,13341.03,1405.40,1405.4,4096,2.9144727479721073,OK
Llama-2-7b-hf,8,Llama-2-7b-hf,2,2,16,2,8,256,16,50,4000,6894.53,1314.13,2628.26,4096,1.5584455114790772,OK
Llama-2-7b-hf,9,Llama-2-7b-hf,1,1,8,4,2,256,16,50,4000,13663.78,2923.42,2923.42,2048,0.7005493565755176,OK
Llama-2-7b-hf,10,Llama-2-7b-hf,2,2,8,4,2,256,16,50,4000,7034.88,1867.04,3734.08,2048,0.5484617362241837,OK
Llama-2-7b-hf,11,Llama-2-7b-hf,1,1,16,4,4,256,16,50,4000,13663.78,2754.11,2754.11,4096,1.4872318099131843,OK
Llama-2-7b-hf,12,Llama-2-7b-hf,2,2,16,4,4,256,16,50,4000,7145.28,2254.45,4508.9,4096,0.9084255583401717,OK
Llama-2-7b-hf,13,Llama-2-7b-hf,1,1,8,8,1,256,16,50,4000,14300.29,3135.73,3135.73,2048,0.6531174559034101,OK
Llama-2-7b-hf,14,Llama-2-7b-hf,2,2,8,8,1,256,16,50,4000,7277.98,1735.31,3470.62,2048,0.590096294033919,OK
Llama-2-7b-hf,15,Llama-2-7b-hf,1,1,16,8,2,256,16,50,4000,14300.29,3098.74,3098.74,4096,1.3218275815331393,OK
Llama-2-7b-hf,16,Llama-2-7b-hf,2,2,16,8,2,256,16,50,4000,7637.79,2274.21,4548.42,4096,0.9005324926018266,OK
Llama-2-7b-hf,17,Llama-2-7b-hf,1,1,8,1,8,512,16,50,4000,13341.03,1583.67,1583.67,4096,2.5863974186541387,OK
Llama-2-7b-hf,18,Llama-2-7b-hf,2,2,8,1,8,512,16,50,4000,6894.53,1303.61,2607.22,4096,1.5710220081159243,OK
Llama-2-7b-hf,19,Llama-2-7b-hf,1,1,16,1,16,512,16,50,4000,13341.03,1570.57,1570.57,8192,5.215940709423967,OK
Llama-2-7b-hf,20,Llama-2-7b-hf,2,2,16,1,16,512,16,50,4000,7022.53,1397.42,2794.84,8192,2.9311159136122282,OK
Llama-2-7b-hf,21,Llama-2-7b-hf,1,1,8,2,4,512,16,50,4000,13663.78,2258.41,2258.41,4096,1.813665366341807,OK
Llama-2-7b-hf,22,Llama-2-7b-hf,2,2,8,2,4,512,16,50,4000,7145.28,2251.40,4502.8,4096,0.909656213911344,OK
Llama-2-7b-hf,23,Llama-2-7b-hf,1,1,16,2,8,512,16,50,4000,13663.78,2334.85,2334.85,8192,3.5085765680878858,OK
